Element,Al,46Ti,48Ti,Fe,Y,Zr,La,Ce,Ho,Hf,Pb,Th,U
Isotopes,27Al,46Ti,48Ti,56Fe,89Y,90Zr,139La,140Ce,165Ho,177Hf+178Hf+179Hf+180Hf,206Pb+207Pb+208Pb,232Th,238U
Sensitivity (TofCts/g),8.93E+15,3.99E+15,5.39E+16,1.17E+17,3.01E+17,1.70E+17,5.47E+17,5.35E+17,2.76E+17,2.67E+17,3.00E+17,2.55E+17,2.83E+17
MedianSignal (TofCts),NaN,1.41E+01,NaN,3.60E+01,NaN,7.99E+01,NaN,NaN,NaN,7.78E+00,NaN,NaN,NaN
Avg Lc (TofCts),8.02,11.97,7.29,18.43,6.2,4.5,5.57,5.52,5.3,3.97,5.46,4.46,4.66
Avg Bkgd (TofCts),0.09,0.963,0.034,4.331,0.04,0.09,0.008,0.006,0.01,0.027,0.026,0,0.003
DynamicAlpha,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,3.20E-05,1.00E-07,1.00E-07,1.00E-07,1.00E-05,1.00E-07,1.00E-07,1.00E-07
Filename,00h03m02s_Zr_ENG 75Kx.h5,,,,,,,,,,,,
spTime (s),120.226,,,,,,,,,,,,
qPlasma (mL/s),0.000063,,,,,,,,,,,,
,,,,,,,,,,,,,
Particle Signals (TofCts),,,,,,,,,,,,,
Comp,Al,46Ti,48Ti,Fe,Y,Zr,La,Ce,Ho,Hf,Pb,Th,U
Zr+Hf,0,0,0,0,0,66.961,0,0,0,4.691,0,0,0
Zr+Hf,0,0,0,0,0,238.482,0,0,0,11.039,0,0,0
Zr,0,0,0,0,0,15.641,0,0,0,0,0,0,0
Zr+Hf,0,0,0,0,0,263.769,0,0,0,5.498,0,0,0
Zr+Hf,0,0,0,0,0,215.28,0,0,0,10.71,0,0,0
Zr,0,0,0,0,0,11.792,0,0,0,0,0,0,0
Zr+Hf,0,0,0,0,0,102.068,0,0,0,6.193,0,0,0
Zr,0,0,0,0,0,155.747,0,0,0,0,0,0,0
Zr,0,0,0,0,0,55.674,0,0,0,0,0,0,0
Zr,0,0,0,0,0,217.053,0,0,0,0,0,0,0
Zr+Hf,0,0,0,0,0,690.649,0,0,0,16.183,0,0,0
Zr,0,0,0,0,0,20.65,0,0,0,0,0,0,0
Zr,0,0,0,0,0,11.075,0,0,0,0,0,0,0
Zr,0,0,0,0,0,119.592,0,0,0,0,0,0,0
Zr,0,0,0,0,0,53.026,0,0,0,0,0,0,0
Zr,0,0,0,0,0,55.505,0,0,0,0,0,0,0
Zr,0,0,0,0,0,19.426,0,0,0,0,0,0,0
Zr+Hf,0,0,0,0,0,370.98,0,0,0,14.103,0,0,0
Zr+Hf,0,0,0,0,0,169.791,0,0,0,4.11,0,0,0
Zr+Hf,0,0,0,0,0,623.601,0,0,0,17.515,0,0,0
Zr,0,0,0,0,0,60.565,0,0,0,0,0,0,0
Zr,0,0,0,0,0,26.182,0,0,0,0,0,0,0
Zr,0,0,0,0,0,127.47,0,0,0,0,0,0,0
Zr,0,0,0,0,0,12.036,0,0,0,0,0,0,0
Zr+Hf,0,0,0,0,0,457.555,0,0,0,17.272,0,0,0
Zr,0,0,0,0,0,96.872,0,0,0,0,0,0,0
Zr+Hf,0,0,0,0,0,622.297,0,0,0,15.973,0,0,0
Zr+Hf,0,0,0,0,0,106.245,0,0,0,4.17,0,0,0
Zr+Hf,0,0,0,0,0,94.412,0,0,0,4.3,0,0,0
Zr+Hf,0,0,0,0,0,459.328,0,0,0,17.581,0,0,0
Zr+Hf,0,0,0,0,0,432.399,0,0,0,13.012,0,0,0
Zr+Hf,0,0,0,0,0,237.256,0,0,0,8.82,0,0,0
Zr,0,0,0,0,0,59.953,0,0,0,0,0,0,0
Zr,0,0,0,0,0,11.393,0,0,0,0,0,0,0
Zr,0,0,0,0,0,9.502,0,0,0,0,0,0,0
Zr,0,0,0,0,0,7.345,0,0,0,0,0,0,0
Zr,0,0,0,0,0,34.238,0,0,0,0,0,0,0
Zr+Hf,0,0,0,0,0,347.227,0,0,0,16.498,0,0,0
Zr+Hf,0,0,0,0,0,509.455,0,0,0,12.836,0,0,0
Zr+Hf,0,0,0,0,0,302.611,0,0,0,6.183,0,0,0
Zr+Hf,0,0,0,0,0,232.12,0,0,0,6.053,0,0,0
Zr,0,0,0,0,0,292.343,0,0,0,0,0,0,0
Zr,0,0,0,0,0,159.661,0,0,0,0,0,0,0
Zr+Hf,0,0,0,0,0,294.482,0,0,0,11.178,0,0,0
Zr+Hf,0,0,0,0,0,932.692,0,0,0,21.559,0,0,0
Zr+Hf,0,0,0,0,0,164.174,0,0,0,4.58,0,0,0
Zr+Hf,0,0,0,0,0,177.478,0,0,0,4.34,0,0,0
Zr,0,0,0,0,0,6.671,0,0,0,0,0,0,0
Zr+Hf,0,0,0,0,0,567.962,0,0,0,9.359,0,0,0
Zr,0,0,0,0,0,86.169,0,0,0,0,0,0,0
Zr+Hf,0,0,0,0,0,339.277,0,0,0,13.288,0,0,0
Zr+Hf,0,0,0,0,0,43.623,0,0,0,4.066,0,0,0
Zr,0,0,0,0,0,42.556,0,0,0,0,0,0,0
Zr+Hf,0,0,0,0,0,218.058,0,0,0,8.299,0,0,0
Zr,0,0,0,0,0,6.385,0,0,0,0,0,0,0
Zr,0,0,0,0,0,35.305,0,0,0,0,0,0,0
Zr+Hf,0,0,0,0,0,268.294,0,0,0,10.464,0,0,0
Zr,0,0,0,0,0,71.799,0,0,0,0,0,0,0
Zr,0,0,0,0,0,129.294,0,0,0,0,0,0,0
Zr,0,0,0,0,0,62.875,0,0,0,0,0,0,0
Zr+Hf,0,0,0,0,0,230.852,0,0,0,4.41,0,0,0
Zr+Hf,0,0,0,0,0,212.277,0,0,0,6.696,0,0,0
Zr,0,0,0,0,0,18.785,0,0,0,0,0,0,0
Zr+Hf,0,0,0,0,0,116.024,0,0,0,5.248,0,0,0
Zr+Hf,0,0,0,0,0,154.477,0,0,0,5.325,0,0,0
Zr,0,0,0,0,0,57.644,0,0,0,0,0,0,0
Zr,0,0,0,0,0,86.318,0,0,0,0,0,0,0
Zr+Hf,0,0,0,0,0,483.596,0,0,0,16.804,0,0,0
Zr,0,0,0,0,0,4.875,0,0,0,0,0,0,0
Zr,0,0,0,0,0,71.939,0,0,0,0,0,0,0
Zr,0,0,0,0,0,72.764,0,0,0,0,0,0,0
Zr,0,0,0,0,0,22.526,0,0,0,0,0,0,0
Zr+Hf,0,0,0,0,0,167.987,0,0,0,11.747,0,0,0
Zr,0,0,0,0,0,18.001,0,0,0,0,0,0,0
Zr+Hf,0,0,0,0,0,661.285,0,0,0,25.614,0,0,0
Zr,0,0,0,0,0,43.69,0,0,0,0,0,0,0
Zr+Hf,0,0,0,0,0,97.743,0,0,0,4.247,0,0,0
Zr,0,0,0,0,0,179.119,0,0,0,0,0,0,0
Zr+Hf,0,0,0,0,0,241.639,0,0,0,13.251,0,0,0
Zr+Hf,0,0,0,0,0,188.007,0,0,0,13.019,0,0,0
Zr,0,0,0,0,0,39.811,0,0,0,0,0,0,0
Zr+Hf,0,0,0,0,0,680.855,0,0,0,28.736,0,0,0
Zr,0,0,0,0,0,74.118,0,0,0,0,0,0,0
Zr,0,0,0,0,0,23.262,0,0,0,0,0,0,0
Zr,0,0,0,0,0,6.352,0,0,0,0,0,0,0
Zr,0,0,0,0,0,5.798,0,0,0,0,0,0,0
Zr+Hf,0,0,0,0,0,493.398,0,0,0,20.734,0,0,0
Zr,0,0,0,0,0,8.068,0,0,0,0,0,0,0
